model,mu/p_induced,generations,trial,mutants
Lamarckian,0.0001,16,55,6
Combined,0.0001,16,55,91
Darwinian,0.0001,16,56,24
Lamarckian,0.0001,16,56,6
Combined,0.0001,16,56,48
Darwinian,0.0001,16,57,38
Lamarckian,0.0001,16,57,4
Combined,0.0001,16,57,62
Darwinian,0.0001,16,58,34
Lamarckian,0.0001,16,58,10
Combined,0.0001,16,58,339
Darwinian,0.0001,16,59,57
Lamarckian,0.0001,16,59,12
Combined,0.0001,16,59,71
Darwinian,0.0001,16,60,171
Lamarckian,0.0001,16,60,3
Combined,0.0001,16,60,112
Darwinian,0.0001,16,61,30
Lamarckian,0.0001,16,61,7
Combined,0.0001,16,61,31
Darwinian,0.0001,16,62,546
Lamarckian,0.0001,16,62,4
Combined,0.0001,16,62,40
Darwinian,0.0001,16,63,42
Lamarckian,0.0001,16,63,5
Combined,0.0001,16,63,31
Darwinian,0.0001,16,64,51
Lamarckian,0.0001,16,64,6
Combined,0.0001,16,64,61
Darwinian,0.0001,16,65,20
Lamarckian,0.0001,16,65,7
Combined,0.0001,16,65,181
Darwinian,0.0001,16,66,50
Lamarckian,0.0001,16,66,6
Combined,0.0001,16,66,50
Darwinian,0.0001,16,67,317
Lamarckian,0.0001,16,67,7
Combined,0.0001,16,67,37
Darwinian,0.0001,16,68,39
Lamarckian,0.0001,16,68,8
Combined,0.0001,16,68,89
Darwinian,0.0001,16,69,42
Lamarckian,0.0001,16,69,6
Combined,0.0001,16,69,54
Darwinian,0.0001,16,70,60
Lamarckian,0.0001,16,70,6
Combined,0.0001,16,70,25
Darwinian,0.0001,16,71,42
Lamarckian,0.0001,16,71,5
Combined,0.0001,16,71,50
Darwinian,0.0001,16,72,43
Lamarckian,0.0001,16,72,8
Combined,0.0001,16,72,16
Darwinian,0.0001,16,73,95
Lamarckian,0.0001,16,73,7
Combined,0.0001,16,73,53
Darwinian,0.0001,16,74,32
Lamarckian,0.0001,16,74,9
Combined,0.0001,16,74,23
Darwinian,0.0001,16,75,29
Lamarckian,0.0001,16,75,7
Combined,0.0001,16,75,42
Darwinian,0.0001,16,76,40
Lamarckian,0.0001,16,76,6
Combined,0.0001,16,76,27
Darwinian,0.0001,16,77,42
Lamarckian,0.0001,16,77,9
Combined,0.0001,16,77,129
Darwinian,0.0001,16,78,26
Lamarckian,0.0001,16,78,8
Combined,0.0001,16,78,175
Darwinian,0.0001,16,79,37
Lamarckian,0.0001,16,79,6
Combined,0.0001,16,79,28
Darwinian,0.0001,16,80,29
Lamarckian,0.0001,16,80,6
Combined,0.0001,16,80,45
Darwinian,0.0001,16,81,8205
Lamarckian,0.0001,16,81,2
Combined,0.0001,16,81,19
Darwinian,0.0001,16,82,79
Lamarckian,0.0001,16,82,6
Combined,0.0001,16,82,603
Darwinian,0.0001,16,83,29
Lamarckian,0.0001,16,83,7
Combined,0.0001,16,83,62
Darwinian,0.0001,16,84,51
Lamarckian,0.0001,16,84,5
Combined,0.0001,16,84,345
Darwinian,0.0001,16,85,81
Lamarckian,0.0001,16,85,10
Combined,0.0001,16,85,43
Darwinian,0.0001,16,86,29
Lamarckian,0.0001,16,86,5
Combined,0.0001,16,86,53
Darwinian,0.0001,16,87,46
Lamarckian,0.0001,16,87,10
Combined,0.0001,16,87,99
Darwinian,0.0001,16,88,47
Lamarckian,0.0001,16,88,8
Combined,0.0001,16,88,30
Darwinian,0.0001,16,89,18
Lamarckian,0.0001,16,89,11
Combined,0.0001,16,89,72
Darwinian,0.0001,16,90,26
Lamarckian,0.0001,16,90,10
Combined,0.0001,16,90,34
Darwinian,0.0001,16,91,26
Lamarckian,0.0001,16,91,6
Combined,0.0001,16,91,36
Darwinian,0.0001,16,92,19
Lamarckian,0.0001,16,92,4
Combined,0.0001,16,92,217
Darwinian,0.0001,16,93,50
Lamarckian,0.0001,16,93,8
Combined,0.0001,16,93,54
Darwinian,0.0001,16,94,27
Lamarckian,0.0001,16,94,4
Combined,0.0001,16,94,113
Darwinian,0.0001,16,95,45
Lamarckian,0.0001,16,95,5
Combined,0.0001,16,95,18
Darwinian,0.0001,16,96,60
Lamarckian,0.0001,16,96,13
Combined,0.0001,16,96,40
Darwinian,0.0001,16,97,33
Lamarckian,0.0001,16,97,5
Combined,0.0001,16,97,55
Darwinian,0.0001,16,98,45
Lamarckian,0.0001,16,98,6
Combined,0.0001,16,98,53
Darwinian,0.0001,16,99,16
Lamarckian,0.0001,16,99,4
Combined,0.0001,16,99,74
Darwinian,0.0001,16,100,48
Lamarckian,0.0001,16,100,0
Combined,0.0001,16,100,37
Darwinian,0.0001,16,101,855
Lamarckian,0.0001,16,101,6
Combined,0.0001,16,101,54
Darwinian,0.0001,16,102,21
Lamarckian,0.0001,16,102,5
Combined,0.0001,16,102,68
Darwinian,0.0001,16,103,55
Lamarckian,0.0001,16,103,4
Combined,0.0001,16,103,42
Darwinian,0.0001,16,104,37
Lamarckian,0.0001,16,104,4
Combined,0.0001,16,104,2091
Darwinian,0.0001,16,105,526
Lamarckian,0.0001,16,105,5
Combined,0.0001,16,105,206
Darwinian,0.0001,16,106,60
Lamarckian,0.0001,16,106,5
Combined,0.0001,16,106,1049
Darwinian,0.0001,16,107,57
Lamarckian,0.0001,16,107,6
Combined,0.0001,16,107,24
Darwinian,0.0001,16,108,26
Lamarckian,0.0001,16,108,8
Combined,0.0001,16,108,206
Darwinian,0.0001,16,109,26
Lamarckian,0.0001,16,109,11
Combined,0.0001,16,109,49
Darwinian,0.0001,16,110,20
Lamarckian,0.0001,16,110,8
Combined,0.0001,16,110,48
Darwinian,0.0001,16,111,37
Lamarckian,0.0001,16,111,2
Combined,0.0001,16,111,75
Darwinian,0.0001,16,112,62
Lamarckian,0.0001,16,112,6
Combined,0.0001,16,112,38
Darwinian,0.0001,16,113,23
Lamarckian,0.0001,16,113,6
Combined,0.0001,16,113,33
Darwinian,0.0001,16,114,143
Lamarckian,0.0001,16,114,5
Combined,0.0001,16,114,33
Darwinian,0.0001,16,115,77
Lamarckian,0.0001,16,115,4
Combined,0.0001,16,115,47
Darwinian,0.0001,16,116,32
Lamarckian,0.0001,16,116,4
Combined,0.0001,16,116,50
Darwinian,0.0001,16,117,31
Lamarckian,0.0001,16,117,11
Combined,0.0001,16,117,91
Darwinian,0.0001,16,118,368
Lamarckian,0.0001,16,118,2
Combined,0.0001,16,118,25
Darwinian,0.0001,16,119,71
Lamarckian,0.0001,16,119,11
Combined,0.0001,16,119,29
Darwinian,0.0001,16,120,37
Lamarckian,0.0001,16,120,7
Combined,0.0001,16,120,37
Darwinian,0.0001,16,121,19
Lamarckian,0.0001,16,121,9
Combined,0.0001,16,121,27
Darwinian,0.0001,16,122,22
Lamarckian,0.0001,16,122,11
Combined,0.0001,16,122,17
Darwinian,0.0001,16,123,36
Lamarckian,0.0001,16,123,7
Combined,0.0001,16,123,39
Darwinian,0.0001,16,124,2162
Lamarckian,0.0001,16,124,6
Combined,0.0001,16,124,50
Darwinian,0.0001,16,125,305
Lamarckian,0.0001,16,125,7
Combined,0.0001,16,125,26
Darwinian,0.0001,16,126,245
Lamarckian,0.0001,16,126,7
Combined,0.0001,16,126,46
Darwinian,0.0001,16,127,31
Lamarckian,0.0001,16,127,3
Combined,0.0001,16,127,29
Darwinian,0.0001,16,128,554
Lamarckian,0.0001,16,128,6
Combined,0.0001,16,128,54
Darwinian,0.0001,16,129,36
Lamarckian,0.0001,16,129,7
Combined,0.0001,16,129,40
Darwinian,0.0001,16,130,30
Lamarckian,0.0001,16,130,8
Combined,0.0001,16,130,38
Darwinian,0.0001,16,131,58
Lamarckian,0.0001,16,131,7
Combined,0.0001,16,131,39
Darwinian,0.0001,16,132,42
Lamarckian,0.0001,16,132,8
Combined,0.0001,16,132,25
Darwinian,0.0001,16,133,108
Lamarckian,0.0001,16,133,11
Combined,0.0001,16,133,52
Darwinian,0.0001,16,134,337
Lamarckian,0.0001,16,134,5
Combined,0.0001,16,134,33
Darwinian,0.0001,16,135,171
Lamarckian,0.0001,16,135,9
Combined,0.0001,16,135,26
Darwinian,0.0001,16,136,27
Lamarckian,0.0001,16,136,7
Combined,0.0001,16,136,22
Darwinian,0.0001,16,137,53
Lamarckian,0.0001,16,137,5
Combined,0.0001,16,137,69
Darwinian,0.0001,16,138,15
Lamarckian,0.0001,16,138,5
Combined,0.0001,16,138,62
Darwinian,0.0001,16,139,84
Lamarckian,0.0001,16,139,11
Combined,0.0001,16,139,26
Darwinian,0.0001,16,140,91
Lamarckian,0.0001,16,140,8
Combined,0.0001,16,140,551
Darwinian,0.0001,16,141,16
Lamarckian,0.0001,16,141,8
Combined,0.0001,16,141,26
Darwinian,0.0001,16,142,44
Lamarckian,0.0001,16,142,7
Combined,0.0001,16,142,45
Darwinian,0.0001,16,143,52
Lamarckian,0.0001,16,143,1
Combined,0.0001,16,143,105
Darwinian,0.0001,16,144,38
Lamarckian,0.0001,16,144,4
Combined,0.0001,16,144,72
Darwinian,0.0001,16,145,31
Lamarckian,0.0001,16,145,10
Combined,0.0001,16,145,34
Darwinian,0.0001,16,146,38
Lamarckian,0.0001,16,146,5
Combined,0.0001,16,146,51
Darwinian,0.0001,16,147,19
Lamarckian,0.0001,16,147,0
Combined,0.0001,16,147,29
Darwinian,0.0001,16,148,26
Lamarckian,0.0001,16,148,9
Combined,0.0001,16,148,69
Darwinian,0.0001,16,149,47
Lamarckian,0.0001,16,149,7
Combined,0.0001,16,149,67
Darwinian,0.0001,16,150,34
Lamarckian,0.0001,16,150,5
Combined,0.0001,16,150,38
Darwinian,0.0001,16,151,38
Lamarckian,0.0001,16,151,7
Combined,0.0001,16,151,38
Darwinian,0.0001,16,152,10
Lamarckian,0.0001,16,152,4
Combined,0.0001,16,152,56
Darwinian,0.0001,16,153,41
Lamarckian,0.0001,16,153,4
Combined,0.0001,16,153,85
Darwinian,0.0001,16,154,33
Lamarckian,0.0001,16,154,6
Combined,0.0001,16,154,106
Darwinian,0.0001,16,155,23
Lamarckian,0.0001,16,155,5
Combined,0.0001,16,155,48
Darwinian,0.0001,16,156,19
Lamarckian,0.0001,16,156,9
Combined,0.0001,16,156,39
Darwinian,0.0001,16,157,29
Lamarckian,0.0001,16,157,11
Combined,0.0001,16,157,57
Darwinian,0.0001,16,158,14
Lamarckian,0.0001,16,158,6
Combined,0.0001,16,158,74
Darwinian,0.0001,16,159,538
Lamarckian,0.0001,16,159,1
Combined,0.0001,16,159,58
Darwinian,0.0001,16,160,20
Lamarckian,0.0001,16,160,2
Combined,0.0001,16,160,31
Darwinian,0.0001,16,161,62
Lamarckian,0.0001,16,161,7
Combined,0.0001,16,161,52
Darwinian,0.0001,16,162,89
Lamarckian,0.0001,16,162,6
Combined,0.0001,16,162,53
Darwinian,0.0001,16,163,78
Lamarckian,0.0001,16,163,10
Combined,0.0001,16,163,84
Darwinian,0.0001,16,164,37
Lamarckian,0.0001,16,164,7
Combined,0.0001,16,164,41
Darwinian,0.0001,16,165,59
Lamarckian,0.0001,16,165,11
Combined,0.0001,16,165,557
Darwinian,0.0001,16,166,55
Lamarckian,0.0001,16,166,7
Combined,0.0001,16,166,20
Darwinian,0.0001,16,167,19
Lamarckian,0.0001,16,167,6
Combined,0.0001,16,167,35
Darwinian,0.0001,16,168,34
Lamarckian,0.0001,16,168,8
Combined,0.0001,16,168,78
Darwinian,0.0001,16,169,19
Lamarckian,0.0001,16,169,9
Combined,0.0001,16,169,46
Darwinian,0.0001,16,170,64
Lamarckian,0.0001,16,170,8
Combined,0.0001,16,170,40
Darwinian,0.0001,16,171,26
Lamarckian,0.0001,16,171,8
Combined,0.0001,16,171,118
Darwinian,0.0001,16,172,125
Lamarckian,0.0001,16,172,6
Combined,0.0001,16,172,24
Darwinian,0.0001,16,173,36
Lamarckian,0.0001,16,173,11
Combined,0.0001,16,173,30
Darwinian,0.0001,16,174,40
Lamarckian,0.0001,16,174,7
Combined,0.0001,16,174,155
Darwinian,0.0001,16,175,24
Lamarckian,0.0001,16,175,7
Combined,0.0001,16,175,110
Darwinian,0.0001,16,176,28
Lamarckian,0.0001,16,176,7
Combined,0.0001,16,176,66
Darwinian,0.0001,16,177,56
Lamarckian,0.0001,16,177,4
Combined,0.0001,16,177,155
Darwinian,0.0001,16,178,113
Lamarckian,0.0001,16,178,2
Combined,0.0001,16,178,21
Darwinian,0.0001,16,179,15
Lamarckian,0.0001,16,179,4
Combined,0.0001,16,179,77
Darwinian,0.0001,16,180,39
Lamarckian,0.0001,16,180,3
Combined,0.0001,16,180,57
Darwinian,0.0001,16,181,45
Lamarckian,0.0001,16,181,5
Combined,0.0001,16,181,23
Darwinian,0.0001,16,182,315
Lamarckian,0.0001,16,182,3
Combined,0.0001,16,182,81
Darwinian,0.0001,16,183,24
Lamarckian,0.0001,16,183,7
Combined,0.0001,16,183,152
Darwinian,0.0001,16,184,33
Lamarckian,0.0001,16,184,4
Combined,0.0001,16,184,56
Darwinian,0.0001,16,185,185
Lamarckian,0.0001,16,185,14
Combined,0.0001,16,185,286
Darwinian,0.0001,16,186,23
Lamarckian,0.0001,16,186,7
Combined,0.0001,16,186,27
Darwinian,0.0001,16,187,65
Lamarckian,0.0001,16,187,9
Combined,0.0001,16,187,86
Darwinian,0.0001,16,188,25
